time;gFx;gFy;gFz;TgF
20:12:39:6790;-0,0837;0,8332;0,5585;1,007
20:12:40:6800;0,0526;0,8725;0,3538;0,943
20:12:41:6979;0,1672;0,2002;1,1979;1,226
20:12:42:6949;0,0895;0,9453;-0,1727;0,965
20:12:43:6850;-0,0155;1,0469;-0,0972;1,052
20:12:44:6850;-0,9713;0,2361;0,0611;1,001
20:12:45:6860;0,9509;0,5507;0,1427;1,108
20:12:46:6889;0,1872;0,9455;0,1518;0,976
20:12:47:6889;-0,1631;0,8246;0,2529;0,878
20:12:48:6899;0,1655;0,7731;0,1808;0,811
20:12:49:6899;-0,2359;0,9761;0,6831;1,215
20:12:50:6899;-0,2940;-0,1201;1,2441;1,284
20:12:51:6909;0,3930;-0,7981;1,6210;1,849
20:12:52:6919;1,9592;-0,9117;0,0013;2,161
20:12:53:6919;1,2964;-0,5721;-0,2130;1,433
20:12:54:6919;0,1203;0,7115;0,5343;0,898
20:12:55:6939;-0,1233;0,7801;0,6213;1,005
